"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_recurrent_D","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_D_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_cph_relapse_D_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_incid_trial_PCR","eff_incid_trial_LM","eff_incid_trial_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D","eff_risk_trial_PCR","eff_risk_trial_LM","eff_risk_trial_D"
551,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.77548554182009,0.809987228529211,0.770881565906742,0.785123810978204,0.818603091823638,0.790371399164607,0.826238824118875,0.784031216823835,0.822647639205615,0.832046059193453,0.249304706137462,0.6937645168836,0.700850275562919,0.705878718224397,0.704398997685217,0.710413777692065,0.711512754991016,0.728027976615547,0.733107874810796,0.738814969776268,0.720221210003675,0.738414372560714,0.742720248338226,0.738845144356955,0.740112994350282,0.728070175438597,0.717546362339515,0.716,0.724941724941725
552,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.779061145680861,0.818095472161045,0.781385301005138,0.7807111773668,0.817983338670469,0.785604739994502,0.822922509834559,0.783765869680956,0.818389559172479,0.830098202884021,-0.484768233471186,0.721302558956347,0.722914179104478,0.759035175879397,0.731702950152594,0.732971698113208,0.761300884955752,0.746775888717156,0.750091428571429,0.779275862068965,0.764068825910931,0.756486325802616,0.771535511363636,0.754617414248021,0.754213483146067,0.780434782608696,0.755102040816326,0.76008064516129,0.780600461893764
553,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.790034818932786,0.817778487162328,0.78398813784572,0.792490972632389,0.821090731017272,0.795782821170137,0.827589401554617,0.792676579216595,0.815670042111131,0.826490514066612,0.424510188209259,0.698738275340393,0.697630205096333,0.734743725231176,0.708243119266055,0.704,0.73996812749004,0.720920848422142,0.715571337579618,0.747578877005348,0.754144406779661,0.750851807228916,0.758962209302326,0.728813559322034,0.728932584269663,0.749435665914221,0.728307254623044,0.739478957915832,0.746987951807229
554,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.760716134362966,0.792868561356836,0.748766839097349,0.763578889828982,0.79553372785484,0.763171798657743,0.796384304731092,0.746740308935376,0.793299367858226,0.80295653215574,-0.342528691060642,0.65270661637945,0.639325627179197,0.668818940655739,0.657196746434044,0.642950386197738,0.66883950160345,0.674275665032689,0.66335109242876,0.692259211297287,0.7002496174583,0.721032975040991,0.720978307781544,0.710219922380336,0.710958904109589,0.7,0.697674418604651,0.71455938697318,0.717439293598234
555,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.777291944466043,0.799170774784687,0.775828097194609,0.788248531632391,0.810943359812463,0.792380562059651,0.821078586433082,0.784522401290251,0.805712268599928,0.81868914222974,-0.564299634294765,0.672728277339408,0.669726846996685,0.683649141100629,0.683833686791058,0.677807917369094,0.686616030414739,0.71127765960021,0.707409398743286,0.729000302963764,0.727631273903378,0.742269985391108,0.755864494309995,0.736625514403292,0.735207100591716,0.755148741418764,0.714499252615845,0.733471074380165,0.745762711864407
556,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.777874219265398,0.812633934082743,0.762672050034602,0.784034830554793,0.81341412541661,0.79289345852192,0.823053667959735,0.777343172109277,0.821396586909897,0.838000854122315,0.139392138748749,0.73679060665362,0.722490931076179,0.718078381795196,0.743666169895678,0.72838749233599,0.724711907810499,0.763874873864783,0.751711263223398,0.750967741935484,0.760655737704918,0.747126436781609,0.755215577190542,0.755263157894737,0.747887323943662,0.75,0.728985507246377,0.731141199226306,0.732101616628176
557,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.802699392411287,0.816365482541121,0.789371726270481,0.812596992261825,0.821540552435983,0.819549684570074,0.831178961664782,0.802132618412799,0.835212784836121,0.845581472158312,0.00238288934297903,0.72058195819582,0.726974767596281,0.735146153846154,0.730813654168998,0.734674763832659,0.743371428571429,0.752768181818182,0.758867898699521,0.765868938401049,0.760595375722543,0.77164406779661,0.767706896551724,0.771664374140303,0.7701317715959,0.785407725321888,0.73780487804878,0.760314341846758,0.760180995475113
558,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.764027910870621,0.792889690581695,0.757085197279242,0.769868728115898,0.79884060211473,0.780204286181963,0.80831848323414,0.769645525954497,0.814823688826413,0.8271191024309,-0.233344345067883,0.682896161417323,0.672397755610973,0.679162468513854,0.69196251874063,0.67984007585335,0.683058375634518,0.712393692777213,0.70357225433526,0.718034482758621,0.70537037037037,0.718851211072664,0.725239774330042,0.733067729083665,0.734375,0.734375,0.69941348973607,0.705179282868526,0.718009478672986
559,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.821327141541419,0.821107139851245,0.817907729620367,0.828189932673535,0.831271989972352,0.835474536851898,0.840812796432699,0.830993100839197,0.843568765540578,0.853494049891772,0.452384930757789,0.729916214884179,0.734319526627219,0.735732009925558,0.741516966067864,0.741472172351885,0.741895261845387,0.764256619144603,0.764311814859927,0.772613065326633,0.757595772787318,0.796610169491526,0.801664355062413,0.762778505897772,0.763713080168776,0.787234042553192,0.727930535455861,0.767578125,0.776255707762557
56,0.1,0,0.01538462,180,1,0,0.75,0.25,28,1,0,0.785000198663121,0.804285022559645,0.786969675525161,0.78385682797748,0.800193814839263,0.783564150127077,0.800122518359165,0.783883427157186,0.809127349921464,0.825331668745361,0.178137641031414,0.704180243282567,0.699138270843659,0.724195313212364,0.70397815520139,0.699463386907632,0.722795289421564,0.713953413802822,0.710997610227674,0.737053197809991,0.737786282784151,0.756689926238044,0.767340482987424,0.736278447121821,0.728715728715729,0.739039665970772,0.721481481481482,0.737154150197628,0.750556792873051
560,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.79496636283898,0.818385783327306,0.780518644801949,0.808359871727728,0.832024830145935,0.812082529915706,0.83673543654256,0.796889544269703,0.84255580431832,0.852166049288687,0.301520799089112,0.706728299948639,0.704876504116529,0.719839142091153,0.71584984358707,0.712731925783749,0.727762803234501,0.738786279683377,0.738849385908209,0.76319350473613,0.740419378163413,0.757921419518378,0.761102603369066,0.775700934579439,0.775071633237822,0.764302059496567,0.741741741741742,0.748440748440748,0.745679012345679
561,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.813183738792992,0.837205900356676,0.805218196122037,0.8222841227946,0.843212059001225,0.825074269404411,0.849261839534636,0.81661769363867,0.84799242921226,0.856565033072077,0.0612964599218948,0.743158104738155,0.734488473520249,0.707643142476698,0.755705852417303,0.743371428571429,0.716202156334232,0.77408718487395,0.76315344603381,0.737940136054422,0.75240722724114,0.749886977886978,0.740490341753343,0.777195281782438,0.776536312849162,0.778012684989429,0.755364806866953,0.769685039370079,0.772009029345373
